model_label,q,n_display,rel,leader_share,counts,chosen_role,n
gemma4_31B_dense,2,399,0.0,0.5012531328320802,"[200, 199]",1,62
gemma4_31B_dense,2,399,0.1,0.5513784461152882,"[220, 179]",1,12
gemma4_31B_dense,2,399,0.1,0.5513784461152882,"[220, 179]",0,138
gemma4_31B_dense,2,399,0.25,0.6265664160401002,"[250, 149]",0,147
gemma4_31B_dense,2,399,0.25,0.6265664160401002,"[250, 149]",1,3
gemma4_31B_dense,2,399,0.4,0.6992481203007519,"[279, 120]",0,147
gemma4_31B_dense,2,399,0.4,0.6992481203007519,"[279, 120]",1,3
gemma4_31B_dense,2,399,0.6,0.7994987468671679,"[319, 80]",0,148
gemma4_31B_dense,2,399,0.6,0.7994987468671679,"[319, 80]",1,2
gemma4_31B_dense,2,399,0.8,0.8972431077694235,"[358, 41]",0,150
gemma4_31B_dense,2,399,1.0,0.9974937343358395,"[398, 1]",0,150
gemma4_31B_dense,2,799,0.0,0.5006257822277848,"[400, 399]",1,82
gemma4_31B_dense,2,799,0.0,0.5006257822277848,"[400, 399]",0,68
gemma4_31B_dense,2,799,0.1,0.5506883604505632,"[440, 359]",0,149
gemma4_31B_dense,2,799,0.1,0.5506883604505632,"[440, 359]",1,1
gemma4_31B_dense,2,799,0.25,0.6257822277847309,"[500, 299]",0,150
gemma4_31B_dense,2,799,0.4,0.6996245306633292,"[559, 240]",0,150
gemma4_31B_dense,2,799,0.6,0.799749687108886,"[639, 160]",0,150
gemma4_31B_dense,2,799,0.8,0.8986232790988736,"[718, 81]",0,150
gemma4_31B_dense,2,799,1.0,0.9987484355444305,"[798, 1]",0,150
gemma4_31B_dense,3,24,0.0,0.3333333333333333,"[8, 8, 8]",2,52
gemma4_31B_dense,3,24,0.0,0.3333333333333333,"[8, 8, 8]",0,56
gemma4_31B_dense,3,24,0.0,0.3333333333333333,"[8, 8, 8]",1,42
gemma4_31B_dense,3,24,0.06,0.375,"[9, 8, 7]",1,35
gemma4_31B_dense,3,24,0.06,0.375,"[9, 8, 7]",0,105
gemma4_31B_dense,3,24,0.06,0.375,"[9, 8, 7]",2,10
gemma4_31B_dense,3,24,0.15,0.4166666666666667,"[10, 7, 7]",0,140
gemma4_31B_dense,3,24,0.15,0.4166666666666667,"[10, 7, 7]",2,6
gemma4_31B_dense,3,24,0.15,0.4166666666666667,"[10, 7, 7]",1,4
gemma4_31B_dense,3,24,0.2,0.4583333333333333,"[11, 7, 6]",0,148
gemma4_31B_dense,3,24,0.2,0.4583333333333333,"[11, 7, 6]",1,1
gemma4_31B_dense,3,24,0.2,0.4583333333333333,"[11, 7, 6]",2,1
gemma4_31B_dense,3,24,0.25,0.5,"[12, 6, 6]",0,147
gemma4_31B_dense,3,24,0.25,0.5,"[12, 6, 6]",1,1
gemma4_31B_dense,3,24,0.25,0.5,"[12, 6, 6]",2,2
gemma4_31B_dense,3,24,0.4,0.5833333333333334,"[14, 5, 5]",0,150
gemma4_31B_dense,3,24,0.6,0.6666666666666666,"[16, 4, 4]",0,150
gemma4_31B_dense,3,24,0.8,0.7916666666666666,"[19, 3, 2]",0,150
gemma4_31B_dense,3,24,1.0,0.9166666666666666,"[22, 1, 1]",0,150
gemma4_31B_dense,3,49,0.0,0.3469387755102041,"[17, 16, 16]",0,75
gemma4_31B_dense,3,49,0.0,0.3469387755102041,"[17, 16, 16]",1,34
gemma4_31B_dense,3,49,0.0,0.3469387755102041,"[17, 16, 16]",2,41
gemma4_31B_dense,3,49,0.1,0.40816326530612246,"[20, 15, 14]",0,137
gemma4_31B_dense,3,49,0.1,0.40816326530612246,"[20, 15, 14]",2,5
gemma4_31B_dense,3,49,0.1,0.40816326530612246,"[20, 15, 14]",1,8
gemma4_31B_dense,3,49,0.25,0.4897959183673469,"[24, 13, 12]",0,149
gemma4_31B_dense,3,49,0.25,0.4897959183673469,"[24, 13, 12]",2,1
gemma4_31B_dense,3,49,0.4,0.5918367346938775,"[29, 10, 10]",0,150
gemma4_31B_dense,3,49,0.6,0.7142857142857143,"[35, 7, 7]",0,150
gemma4_31B_dense,3,49,0.8,0.8367346938775511,"[41, 4, 4]",0,150
gemma4_31B_dense,3,49,1.0,0.9591836734693877,"[47, 1, 1]",0,150
gemma4_31B_dense,3,49,0.03,0.3673469387755102,"[18, 16, 15]",0,103
gemma4_31B_dense,3,49,0.03,0.3673469387755102,"[18, 16, 15]",1,30
gemma4_31B_dense,3,49,0.03,0.3673469387755102,"[18, 16, 15]",2,17
gemma4_31B_dense,3,49,0.06,0.3877551020408163,"[19, 15, 15]",0,124
gemma4_31B_dense,3,49,0.06,0.3877551020408163,"[19, 15, 15]",2,13
gemma4_31B_dense,3,49,0.06,0.3877551020408163,"[19, 15, 15]",1,13
gemma4_31B_dense,3,49,0.15,0.4489795918367347,"[22, 14, 13]",0,145
gemma4_31B_dense,3,49,0.15,0.4489795918367347,"[22, 14, 13]",1,2
gemma4_31B_dense,3,49,0.15,0.4489795918367347,"[22, 14, 13]",2,3
gemma4_31B_dense,3,49,0.2,0.46938775510204084,"[23, 13, 13]",0,148
gemma4_31B_dense,3,49,0.2,0.46938775510204084,"[23, 13, 13]",1,2
gemma4_31B_dense,3,99,0.0,0.3333333333333333,"[33, 33, 33]",0,46
gemma4_31B_dense,3,99,0.0,0.3333333333333333,"[33, 33, 33]",2,57
gemma4_31B_dense,3,99,0.0,0.3333333333333333,"[33, 33, 33]",1,47
gemma4_31B_dense,3,99,0.03,0.35353535353535354,"[35, 32, 32]",0,83
gemma4_31B_dense,3,99,0.03,0.35353535353535354,"[35, 32, 32]",2,34
gemma4_31B_dense,3,99,0.03,0.35353535353535354,"[35, 32, 32]",1,33
gemma4_31B_dense,3,99,0.06,0.37373737373737376,"[37, 31, 31]",0,96
gemma4_31B_dense,3,99,0.06,0.37373737373737376,"[37, 31, 31]",1,30
gemma4_31B_dense,3,99,0.06,0.37373737373737376,"[37, 31, 31]",2,24
gemma4_31B_dense,3,99,0.1,0.3939393939393939,"[39, 30, 30]",1,11
gemma4_31B_dense,3,99,0.1,0.3939393939393939,"[39, 30, 30]",0,127
gemma4_31B_dense,3,99,0.1,0.3939393939393939,"[39, 30, 30]",2,12
gemma4_31B_dense,3,99,0.15,0.43434343434343436,"[43, 28, 28]",0,143
gemma4_31B_dense,3,99,0.15,0.43434343434343436,"[43, 28, 28]",1,5
gemma4_31B_dense,3,99,0.15,0.43434343434343436,"[43, 28, 28]",2,2
gemma4_31B_dense,3,99,0.2,0.46464646464646464,"[46, 27, 26]",0,145
gemma4_31B_dense,3,99,0.2,0.46464646464646464,"[46, 27, 26]",2,3
