run,step,time,magnetization,coordination_level,invalid_count
0,0,0.0,0.0,0.0,0
1,0,0.0,0.0,0.0,0
2,0,0.0,0.0,0.0,0
3,0,0.0,0.0,0.0,0
4,0,0.0,0.0,0.0,0
5,0,0.0,0.0,0.0,0
6,0,0.0,0.0,0.0,0
7,0,0.0,0.0,0.0,0
8,0,0.0,0.0,0.0,0
9,0,0.0,0.0,0.0,0
10,0,0.0,0.0,0.0,0
11,0,0.0,0.0,0.0,0
12,0,0.0,0.0,0.0,0
13,0,0.0,0.0,0.0,0
14,0,0.0,0.0,0.0,0
15,0,0.0,0.0,0.0,0
16,0,0.0,0.0,0.0,0
17,0,0.0,0.0,0.0,0
18,0,0.0,0.0,0.0,0
19,0,0.0,0.0,0.0,0
0,1,0.02,0.04,0.04,0
1,1,0.02,0.0,0.0,0
2,1,0.02,0.0,0.0,0
3,1,0.02,0.0,0.0,0
4,1,0.02,-0.04,0.04,0
5,1,0.02,0.0,0.0,0
6,1,0.02,0.0,0.0,0
7,1,0.02,-0.04,0.04,0
8,1,0.02,0.0,0.0,0
9,1,0.02,0.0,0.0,0
10,1,0.02,0.04,0.04,0
11,1,0.02,0.04,0.04,0
12,1,0.02,-0.04,0.04,0
13,1,0.02,-0.04,0.04,0
14,1,0.02,0.0,0.0,0
15,1,0.02,-0.04,0.04,0
16,1,0.02,-0.04,0.04,0
17,1,0.02,-0.04,0.04,0
18,1,0.02,-0.04,0.04,0
19,1,0.02,0.0,0.0,0
0,2,0.04,0.04,0.04,0
1,2,0.04,0.04,0.04,0
2,2,0.04,0.04,0.04,0
3,2,0.04,0.0,0.0,0
4,2,0.04,-0.08,0.08,0
5,2,0.04,0.04,0.04,0
6,2,0.04,0.0,0.0,0
7,2,0.04,-0.08,0.08,0
8,2,0.04,-0.04,0.04,0
9,2,0.04,0.0,0.0,0
10,2,0.04,0.04,0.04,0
11,2,0.04,0.04,0.04,0
12,2,0.04,-0.08,0.08,0
13,2,0.04,-0.04,0.04,0
14,2,0.04,-0.04,0.04,0
15,2,0.04,-0.04,0.04,0
16,2,0.04,0.0,0.0,0
17,2,0.04,0.0,0.0,0
18,2,0.04,-0.04,0.04,0
19,2,0.04,0.04,0.04,0
0,3,0.06,0.0,0.0,0
1,3,0.06,0.04,0.04,0
2,3,0.06,0.04,0.04,0
3,3,0.06,-0.04,0.04,0
4,3,0.06,-0.08,0.08,0
5,3,0.06,0.08,0.08,0
6,3,0.06,0.0,0.0,0
7,3,0.06,-0.08,0.08,0
8,3,0.06,-0.04,0.04,0
9,3,0.06,0.0,0.0,0
10,3,0.06,0.04,0.04,0
11,3,0.06,0.04,0.04,0
12,3,0.06,-0.08,0.08,0
13,3,0.06,-0.08,0.08,0
14,3,0.06,-0.08,0.08,0
15,3,0.06,0.0,0.0,0
